123 Investment Managers
21 Centrale Partners
360° Capital Partners
2C Invest
3i
A Plus Finance
Abénex
Ace management
ACG Management
Activa Capital
Adaxtra Capital
Alliance Entreprendre
Alven
Amundi Private Equity Funds
Andera Partners
Apax Partners
Apicap
Ardian
Argos Wityu
Arkea Capital
Aster Capital
Astorg
Auriga
Azulis Capital
BC Partners
BNP Paribas Développement
Bpifrance Direction Fonds Propres PME
Bpifrance Direction Mid & Large Caps
Bpifrance
Breega Capital
Bridgepoint
Calao Finance
Caphorn Invest
Capzanine
Carlyle Group
Céréa Partenaire
Chequers Capital
Ciclad
Citizen Capital
CM-CIC Investissement
Crédit Agricole Régions Investissement
Creadev
Demeter
Elaia Partners
Equistone
Eurazeo PME
Eurazeo
Experienced Capital
Galia Gestion
Gimv
Idi
Idia Capital Investissement
Idinvest Partners
IK Investment Partners
Initiative & Finance
Innovacom
Inocap
Irdi Soridec Gestion
Iris Capital
Isai
Isatis Capital
Ixo Private Equity
Keensight Capital
Kima Ventures
Kreaxi
L Capital
Latour Capital
LBO France
M Capital
MBO Partenaires
Mérieux Développement
Montagu Private Equity
Naxicap Partners
NCI
Newfund
NextStage
Nord Capital Partners
Nixen
Odyssée Venture
Omnes Capital
PAI Partners
Parquest Capital
Partech
Pléade Investissement
Qualium Investissement
Seventure Partners
Sigma Gestion
Silverfleet Capital
Siparex (Xange)
Socadif
Société Générale Capital Partenaires
Sodero Gestion
Sofimac Investment Managers
Sofinnova Partners
TCR Capital
Truffle Capital
Turenne Capital Partenaires (+Innovacom)
UI Gestion
Unexo
Unigrains
Vatel Capital
Ventech
Weinberg Capital Partners
Wendel
Amundi Asset Management
Axa Investment Managers
Bnp Paribas Banque Privée
La Banque Postale Asset Management
Aviva Investors
Cpr Am
Groupama Asset Management
Lazard Frères Gestion
Ofi Asset Management
Ostrum Asset Management
Cm-Cic Asset Management
DNCA
Edmond De Rothschild Asset Management
Ellipsis Asset Management
Groupe La Française
H2O Asset Management
La Financiere De L’Echiquier
Lyxor Asset Management
Oddo Bhf Asset Management
Rothschild Martin Maurel
Abn Amro Investment Solutions
Bft Investment Managers
Covéa Finance
Exane Asset Management
Federal Finance Gestion
Haas Gestion
Lombard Odier Investment Managers
Mandarine Gestion
Mirova
Myria Asset Management
Portzamparc Gestion
Richelieu Gestion
Roche-Brune Asset Management
Schelcher Prince Gestion
Scor Investment Partners
Swen Capital Partners
Transatlantique Gestion
Valuable Practice
Aqua Asset Management
Bordier & Cie
Cholet Dupont Asset Management
Cogefi Gestion
Delubac Asset Management
Dorval Asset Management
Egamo
New Alpha Asset Management
Octo Asset Management
Ossiam
Seeyond
Tocqueville Finance
Vega Investment Managers
Vivienne Investissement
Zencap
La Française 
Carmignac Gestion
Comgest
Aew Europe
Axeltis
Ecofi Investment
Schroders
Pictet
Degroof Petercam
Candriam
Eurizon
Didner & Gerge Fonder
Eleva Capital
Vontobel
Gerifonds
Avanza
Fundpartner Solutions
Montpensier Finance
Sabadell A.M.
Syz Asset Management
Capital Group
Amplegest
Ipconcept
Financière De La Cité
Architas France
Mirabaud Asset Management
La Financiere Responsable
Gaspal Gestion
Multiconcept
Montségur Finance
Financière Arbevel
Boussard & Gavaudan
Rouvier Associés
Fideas Capital
Mansartis Gestion
E. Gutzwiller & Cie, Banquiers
Auris Gestion
Financiere D'Uzes
Dôm Finance
Fineco
Financière Tiepolo
Optigestion
Talence Gestion
Matignon Finances
La Financière De L'Europe
Financiere de l'Oxer
Métropole Gestion
